NAME,NOELEC,DISTRICT,INCUMB,TERM,PARTY,SEX,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q5_1,Q5_2,Q5_3,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q7_26,Q7_27,Q7_28,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8
伊達忠一,1,1,4,2,2,1,99,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,3,1,2,1,4,1,3,1,1,2,1,5,2,2,2,5,3,3,1,4,3,3,3,3,,,,,,,,,,,,,,,,,1,2,3,4,3,3,3,4,,,,,,,,
平野達男,1,3,4,2,1,1,99,,,,,,,2,5,4,4,2,2,3,3,1,2,2,2,2,2,3,2,1,3,2,1,1,2,3,1,2,2,1,1,2,1,1,2,1,2,2,2,1,1,1,2,3,2,2,2,3,5,4,2,3,4,3,3,3,1,2,2,2,3,2,3,4,4,1,4,,,,,,,,,,,,,,,,,5,4,5,5,4,3,5,5,,,,,,,,
松浦大悟,1,5,4,1,1,1,99,,,,,,,5,15,8,4,3,3,3,1,1,3,3,3,1,1,3,3,1,4,3,1,1,1,4,1,3,3,1,1,2,2,2,4,1,1,3,2,2,3,1,3,3,2,4,2,3,5,4,3,3,3,3,1,3,4,2,2,2,5,3,1,5,3,1,5,90,50,50,50,75,90,50,50,50,90,90,50,50,90,50,100,4,2,4,4,4,3,3,4,3,5,1,80,80,80,60,80
舟山康江,1,6,4,1,1,2,99,,,,,,,5,10,1,4,3,3,3,2,1,2,3,3,1,1,3,3,1,3,,3,2,1,2,2,2,2,2,1,1,3,1,5,1,3,4,4,3,2,1,5,3,3,2,2,5,5,3,4,5,5,5,1,5,1,1,5,4,3,1,5,5,5,1,2,100,0,0,10,50,70,25,0,25,70,80,0,0,100,0,90,5,2,3,5,5,4,2,5,,,,,,,,
長谷川大紋,1,8,4,1,13,1,99,,,,,,,4,,,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,,,,,,,,
藤田幸久,1,8,4,1,1,1,99,,,,,,,1,7,2,4,3,3,3,2,2,,,,2,2,,,4,1,3,1,1,1,4,1,3,3,1,1,1,1,1,2,1,2,4,1,4,4,2,4,4,4,2,2,3,5,2,2,4,2,4,2,2,4,2,2,2,2,2,2,4,4,1,3,,,,,,,,,,,,,,,,100,4,4,4,4,4,2,4,2,5,10,2,80,70,60,60,50
谷博之,1,9,4,2,1,1,99,7,8,11,3,4,1,7,10,11,4,3,3,3,2,2,3,3,3,2,3,3,3,1,4,5,1,1,1,3,1,2,2,1,1,1,1,1,2,1,1,2,1,5,5,1,3,3,3,3,5,2,5,3,2,3,4,4,2,4,3,1,2,2,4,3,3,2,2,2,3,95,10,30,30,50,50,10,50,10,70,50,0,30,80,0,95,5,5,4,5,4,4,4,5,10,10,10,50,30,20,50,70
山本一太,1,10,4,3,2,1,99,,,,,,,,,,,4,2,3,,3,2,2,2,,,3,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,3,2,2,2,3,1,3,1,3,3,3,5,1,2,3,5,3,3,2,5,4,2,1,3,,,,,,,,,,,,,,,,,3,3,2,5,3,3,3,4,,,,,,,,
行田邦子,1,11,4,1,1,2,99,,,,,,,8,12,15,4,3,,3,,,,,,,,3,,1,3,,1,1,2,3,1,2,3,1,1,3,3,3,3,1,3,4,1,3,3,1,3,3,3,4,3,5,5,3,2,3,3,4,3,3,3,2,3,3,3,2,2,3,3,1,3,,,,,,,,,,,,,,,,,4,2,3,5,3,3,3,5,3,5,1,100,90,90,40,40
山根隆治,1,11,4,2,1,1,99,,,,,,,7,1,,4,,,,,,,,,,,,,,,,2,1,1,4,1,,,1,1,,1,,,2,2,,2,,,,,,1,,,,,2,,2,,,,2,,,5,4,,1,,1,,1,,,,,,,,,,,,,,,,,90,2,3,4,4,4,2,4,5,2,2,10,80,70,80,70,80
