id,name,prefid,pref,dm,win,inc,party,votes,vshare,rank,age
1,伊達忠一,1,Hokkaido,2,1,1,1,903693,0.377,1,74
2,小川勝也,1,Hokkaido,2,1,1,2,583995,0.244,2,50
3,浅野貴博,1,Hokkaido,2,0,0,98,352434,0.147,3,35
4,森英士,1,Hokkaido,2,0,0,4,272102,0.114,4,35
5,安住太伸,1,Hokkaido,2,0,0,24,261802,0.109,5,43
6,森山佳則,1,Hokkaido,2,0,0,25,23194,0.01,6,46
7,滝沢求,2,Aomori,1,1,0,1,261575,0.513,1,54
8,平山幸司,2,Aomori,1,0,1,33,76432,0.15,2,43
9,波多野里奈,2,Aomori,1,0,0,24,63528,0.125,3,40
10,工藤信,2,Aomori,1,0,0,99,53062,0.104,4,59
11,吉俣洋,2,Aomori,1,0,0,4,48290,0.095,5,39
12,石田昭弘,2,Aomori,1,0,0,25,6659,0.013,6,54
13,平野達男,3,Iwate,1,1,1,99,243368,0.397,1,59
14,田中真一,3,Iwate,1,0,0,1,161499,0.264,2,46
15,関根敏伸,3,Iwate,1,0,0,33,91048,0.149,3,57
16,吉田晴美,3,Iwate,1,0,0,2,62047,0.101,4,41
17,菊池幸夫,3,Iwate,1,0,0,4,46529,0.076,5,54
18,高橋敬子,3,Iwate,1,0,0,25,8322,0.014,6,51
19,愛知治郎,4,Miyagi,2,1,1,1,421634,0.447,1,44
20,和田政宗,4,Miyagi,2,1,0,24,220207,0.233,2,38
21,岡崎トミ子,4,Miyagi,2,0,1,2,215105,0.228,3,69
22,岩渕彩子,4,Miyagi,2,0,0,4,76515,0.081,4,30
23,皀智子,4,Miyagi,2,0,0,25,9662,0.01,5,41
24,中泉松司,5,Akita,1,1,0,1,260846,0.523,1,34
25,松浦大悟,5,Akita,1,0,1,2,194497,0.39,2,43
26,佐竹良夫,5,Akita,1,0,0,4,36371,0.073,3,62
27,西野晃,5,Akita,1,0,0,25,6736,0.014,4,36
28,大沼瑞穂,6,Yamagata,1,1,0,1,272779,0.482,1,34
29,舟山康江,6,Yamagata,1,0,1,32,252040,0.446,2,47
30,太田俊男,6,Yamagata,1,0,0,4,33718,0.06,3,59
31,城取良太,6,Yamagata,1,0,0,25,7193,0.013,4,36
32,森雅子,7,Fukushima,1,1,1,1,484089,0.566,1,48
33,金子恵美,7,Fukushima,1,0,1,2,240842,0.282,2,48
34,岩渕友,7,Fukushima,1,0,0,4,77401,0.09,3,36
35,遠藤陽子,7,Fukushima,1,0,0,5,35801,0.042,4,63
36,酒井秀光,7,Fukushima,1,0,0,25,9860,0.012,5,45
37,杉内一成,7,Fukushima,1,0,0,98,7425,0.009,6,80
38,上月良祐,8,Ibaraki,2,1,0,1,560642,0.484,1,50
39,藤田幸久,8,Ibaraki,2,1,1,2,204021,0.176,2,63
40,石原順子,8,Ibaraki,2,0,0,24,153403,0.133,3,52
41,石井章,8,Ibaraki,2,0,0,30,127823,0.11,4,56
42,小林恭子,8,Ibaraki,2,0,0,4,97197,0.084,5,62
43,中村幸樹,8,Ibaraki,2,0,0,25,14586,0.013,6,49
44,高橋克法,9,Tochigi,1,1,0,1,376553,0.481,1,55
45,沖智美,9,Tochigi,1,0,0,24,201895,0.258,2,32
46,谷博之,9,Tochigi,1,0,1,2,158577,0.203,3,70
47,小池一徳,9,Tochigi,1,0,0,4,41351,0.053,4,52
48,杉浦満春,9,Tochigi,1,0,0,25,4371,0.006,5,45
49,山本一太,10,Gunma,1,1,1,1,580144,0.719,1,55
50,加賀谷富士子,10,Gunma,1,0,0,2,123725,0.153,2,35
51,店橋世津子,10,Gunma,1,0,0,4,91905,0.114,3,51
52,安永陽,10,Gunma,1,0,0,25,11200,0.014,4,65
53,古川俊治,11,Saitama,3,1,1,1,1000725,0.341,1,50
54,矢倉克夫,11,Saitama,3,1,0,3,599755,0.204,2,38
55,行田邦子,11,Saitama,3,1,1,24,485559,0.165,3,47
56,山根隆治,11,Saitama,3,0,1,2,389625,0.133,4,65
57,伊藤岳,11,Saitama,3,0,0,4,353594,0.12,5,53
58,川上康正,11,Saitama,3,0,0,5,65749,0.022,6,48
59,谷井美穂,11,Saitama,3,0,0,25,22345,0.008,7,50
60,宮永照彦,11,Saitama,3,0,0,98,21358,0.007,8,56
61,石井準一,12,Chiba,3,1,1,1,680706,0.285,1,55
62,豊田俊郎,12,Chiba,3,1,0,1,418806,0.175,2,60
63,長浜博行,12,Chiba,3,1,1,2,388529,0.163,3,54
64,寺田昌弘,12,Chiba,3,0,0,24,285007,0.119,4,45
