ID,NAME,RESPONSE,NOELEC,DISTRICT,INCUMB,PARTY,PROP,TERM,SEX,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6_1,Q14_6_2,Q14_6_3,Q14_6_4,Q14_6_5,Q14_6_6,Q14_6_7,Q14_6_8,Q14_6_9,Q15_1,Q15_2,Q15_3,Q16
1,浅野貴博,1,0,1,1,10,0,0,1,0,7,6,1,1,5,2,1,4,15,4,4,1,5,4,5,4,1,2,5,5,2,5,2,2,4,2,5,4,1,2,2,5,5,1,2,1,1,4,4,4,4,1,3,5,5,4,2,3,3,3,3,3,2,3,3,4,2,7,1,1,2,2,4,4,3,4,5,5,5,4,66,0,0,1,1,1,0,0,1,0,2,1,14,
2,安住太伸,1,0,1,1,5,0,0,1,0,13,15,4,5,4,1,5,10,11,2,3,1,3,2,3,3,4,3,5,3,2,1,3,5,2,2,4,3,1,2,2,2,3,4,3,3,1,3,4,4,3,2,2,3,2,3,2,2,2,2,4,2,2,2,2,2,2,6,2,2,2,3,2,3,3,3,1,4,2,4,66,0,0,0,1,1,0,1,1,1,14,1,11,新しい日本の形を創る
3,小川勝也,1,0,1,4,2,0,3,1,1,16,4,12,1,2,5,4,7,3,3,5,1,3,5,5,5,2,3,2,3,3,5,5,2,3,3,3,4,3,3,1,4,4,2,3,4,1,4,5,4,1,4,3,5,5,4,3,4,3,3,2,3,2,2,2,2,2,4,2,2,2,3,4,3,3,2,4,3,1,2,66,0,0,1,1,1,0,0,0,0,1,2,6,安倍政権の暴走を止める
4,伊達忠一,1,0,1,4,1,0,2,1,1,14,4,6,1,2,4,14,4,6,1,2,1,3,1,1,3,1,1,1,2,3,99,3,3,4,1,2,1,2,3,2,1,2,2,3,1,4,2,4,2,2,1,2,2,2,1,4,99,99,1,99,99,99,99,99,99,99,99,1,3,3,3,3,3,2,2,4,3,2,2,66,0,0,0,1,0,0,0,0,0,2,1,6,
5,森英士,1,0,1,1,6,0,0,1,0,7,15,12,1,5,2,7,15,12,5,5,3,5,5,5,5,1,5,5,5,3,5,5,1,3,5,5,3,5,5,1,5,5,1,3,4,1,5,5,5,5,5,4,5,5,5,99,99,99,99,99,4,99,99,99,99,99,0,1,1,2,1,5,5,1,4,5,5,3,3,66,0,0,1,1,1,0,1,0,0,1,13,14,自共対決
6,森山佳則,1,0,1,1,12,0,0,1,0,2,15,12,1,3,2,2,15,1,1,1,1,1,1,1,2,2,1,5,5,5,1,5,5,1,1,1,3,5,2,2,1,1,5,3,1,5,1,5,1,3,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,5,2,2,2,2,3,4,2,3,4,5,4,0,6,66,66,66,66,66,66,66,66,66,2,6,13,救国
7,石田昭弘,1,0,2,1,12,0,0,1,0,1,12,15,1,3,4,1,99,99,1,1,1,1,1,1,1,2,1,5,5,3,1,5,5,2,1,1,1,5,1,2,1,1,5,4,2,5,1,5,1,4,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,7,2,2,3,3,2,3,3,3,5,0,0,0,1,66,66,66,66,66,66,66,66,66,2,1,13,日本の誇りを取り戻す
8,工藤信,1,0,2,1,17,0,0,1,0,4,99,99,5,99,99,4,99,99,2,3,2,4,3,2,4,2,2,2,2,3,5,4,3,2,2,2,3,2,3,4,5,5,1,5,3,2,3,4,5,2,3,99,3,4,5,99,99,99,99,99,99,99,99,99,99,99,6,3,3,3,3,3,3,3,3,3,1,0,0,3,66,66,66,66,66,66,66,66,66,1,2,8,
9,滝沢求,1,0,2,1,1,0,0,1,1,4,13,14,1,3,4,3,4,14,1,2,2,3,2,2,3,1,1,3,3,2,1,3,3,2,2,2,3,2,2,3,1,3,2,3,3,5,1,4,3,3,1,1,1,1,1,4,3,99,1,2,99,99,99,99,99,99,7,2,2,3,3,2,3,2,3,4,4,2,1,66,0,0,0,0,1,0,0,0,0,2,1,6,日本再生
10,波多野里奈,1,0,2,1,5,0,0,2,0,5,7,10,4,3,1,5,6,7,2,4,2,4,3,3,2,4,3,4,3,2,2,4,4,3,2,4,3,1,1,2,2,3,4,3,4,1,2,5,5,3,3,3,4,3,3,2,2,2,2,4,2,2,2,2,2,2,5,2,1,4,3,4,2,3,2,1,4,5,4,66,0,0,0,1,1,0,1,0,0,1,2,3,アベノミクスの是非を問う
11,平山幸司,1,0,2,4,7,0,1,1,0,7,4,6,1,5,4,4,13,11,2,4,1,4,5,3,3,2,2,5,3,3,5,2,2,2,1,5,4,4,5,2,3,4,2,2,3,2,3,2,3,2,3,2,5,5,5,3,2,2,2,2,3,4,2,2,2,2,6,1,1,2,3,4,3,2,4,5,4,1,3,66,0,0,0,1,1,0,0,1,0,1,2,6,日本再生
12,吉俣洋,1,0,2,1,6,0,0,1,0,16,15,4,99,99,99,15,16,12,5,5,2,4,5,5,5,3,3,5,5,5,5,5,1,3,4,5,4,5,5,1,5,5,2,2,5,1,5,5,3,5,5,4,5,5,5,3,3,3,3,3,4,3,3,3,3,3,99,3,1,3,3,3,3,4,3,3,4,0,4,66,0,0,0,1,1,0,1,1,0,2,1,14,自共対決
13,菊池幸夫,1,0,3,1,6,0,0,1,0,13,2,15,5,1,2,13,15,2,5,5,2,3,5,5,5,2,3,5,5,4,5,5,1,3,2,5,5,5,5,1,4,5,1,2,5,1,5,5,5,5,5,4,5,5,5,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,1,3,3,3,3,4,5,2,4,66,0,0,1,1,1,0,1,1,0,1,2,6,自共対決
14,関根敏伸,1,0,3,1,7,0,0,1,0,13,3,4,3,2,5,13,3,4,3,3,2,3,5,4,5,2,2,5,5,3,5,4,2,3,2,5,3,5,4,1,3,4,3,3,3,1,3,3,3,1,5,3,5,5,5,3,2,3,3,2,3,4,2,2,2,2,5,1,1,1,1,2,4,4,4,4,5,0,2,66,0,0,0,1,1,0,1,0,0,2,1,14,復興
15,高橋敬子,1,0,3,1,12,0,0,2,0,16,12,6,1,3,5,16,12,6,1,1,1,1,1,1,1,1,1,5,5,1,1,2,5,1,1,1,1,5,3,2,1,1,5,3,1,5,2,3,1,5,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,10,2,2,2,2,4,2,2,2,4,4,0,0,3,66,66,66,66,66,66,66,66,66,2,7,3,日本サバイバル
16,田中真一,1,0,3,1,1,0,0,1,0,4,5,7,1,4,3,4,5,7,2,3,1,2,1,3,4,2,4,1,1,3,1,2,5,3,1,3,3,1,5,2,2,3,2,3,3,2,1,3,4,2,2,2,1,2,1,4,99,99,1,99,99,99,99,99,99,99,99,1,1,3,1,3,4,3,3,2,1,1,1,66,0,1,0,1,1,0,1,1,0,2,8,9,ねじれ解消
17,平野達男,1,0,3,4,17,0,2,1,1,13,16,6,5,1,2,13,4,2,3,2,1,3,1,4,4,2,3,2,2,2,3,3,3,2,3,3,2,4,4,2,3,3,2,3,3,4,2,3,5,2,2,2,4,5,5,99,99,99,99,99,99,99,99,99,99,99,7,3,2,3,3,3,2,2,1,2,2,4,2,66,0,0,0,1,1,0,0,0,0,1,2,6,復興加速
18,吉田晴美,1,0,3,1,2,0,0,2,0,13,16,7,5,1,4,3,6,13,3,4,2,4,4,4,4,3,3,3,3,4,5,4,2,2,2,4,2,3,4,3,4,3,3,2,4,2,3,5,4,1,3,3,5,5,4,3,4,3,3,2,3,3,2,2,3,3,5,2,1,2,2,4,4,1,2,5,5,1,4,66,0,0,1,1,1,0,1,0,1,2,6,1,政権暴走防止
