id,NAME,prefid,pref,dm,win,inc,party,votes,tvotes,vshare,rank,age
1,長谷川岳,1,Hokkaido,3,1,1,1,648269,2545446,25.4678,1,45
2,徳永エリ,1,Hokkaido,3,1,1,2,559996,2545446,21.99992,2,54
3,鉢呂吉雄,1,Hokkaido,3,1,0,2,491129,2545446,19.29442,3,68
4,柿木克弘,1,Hokkaido,3,0,0,1,482688,2545446,18.96281,4,48
5,森英士,1,Hokkaido,3,0,0,4,239564,2545446,9.411474,5,38
6,佐藤和夫,1,Hokkaido,3,0,0,34,34092,2545446,1.339333,6,69
7,中村治,1,Hokkaido,3,0,0,36,29072,2545446,1.142118,7,63
8,飯田佳宏,1,Hokkaido,3,0,0,99,26686,2545446,1.048382,8,43
9,森山佳則,1,Hokkaido,3,0,0,25,21006,2545446,0.8252385,9,49
10,水越寛陽,1,Hokkaido,3,0,0,99,12944,2545446,0.508516,10,36
11,田名部匡代,2,Aomori,1,1,0,2,302867,615753,49.18644,1,47
12,山崎力,2,Aomori,1,0,1,1,294815,615753,47.87878,2,69
13,三国佑貴,2,Aomori,1,0,0,25,18071,615753,2.934781,3,31
14,木戸口英司,3,Iwate,1,1,0,99,328555,615915,53.34421,1,52
15,田中真一,3,Iwate,1,0,0,1,252767,615915,41.03927,2,49
16,石川幹子,3,Iwate,1,0,0,25,34593,615915,5.616522,3,51
17,桜井充,4,Miyagi,1,1,1,2,510450,998847,51.10392,1,60
18,熊谷大,4,Miyagi,1,0,1,1,469268,998847,46.98097,2,41
19,油井哲史,4,Miyagi,1,0,0,25,19129,998847,1.915108,3,36
20,石井浩郎,5,Akita,1,1,1,1,290052,537704,53.94269,1,52
21,松浦大悟,5,Akita,1,0,0,2,236521,537704,43.98721,2,46
22,西野晃,5,Akita,1,0,0,25,11131,537704,2.070098,3,39
23,舟山康江,6,Yamagata,1,1,0,99,344356,583162,59.0498,1,50
24,月野薫,6,Yamagata,1,0,0,1,223583,583162,38.33978,2,61
25,城取良太,6,Yamagata,1,0,0,25,15223,583162,2.610424,3,39
26,増子輝彦,7,Fukushima,1,1,1,2,462852,916487,50.50285,1,68
27,岩城光英,7,Fukushima,1,0,1,1,432982,916487,47.24366,2,66
28,矢内筆勝,7,Fukushima,1,0,0,25,20653,916487,2.253496,3,54
29,岡田広,8,Ibaraki,2,1,1,1,609636,1211322,50.32816,1,69
