ID,NAME,RESPONSE,NOELEC,DISTRICT,PARTY,INCUMB,TERM,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q7_1,Q7_2,Q8,Q9_1,Q9_2,Q9_3,Q10,Q11_1,Q11_2,Q11_3,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13,Q14,Q1_1_FA,Q1_2_FA,Q1_3_FA,Q6_15_FA
1,柿木克弘,1,0,1,1,1,0,1,48,0,3,4,5,999,999,999,999,999,999,999,999,999,999,1,3,3,1,3,1,1,3,3,3,2,3,3,5,3,1,1,5,5,4,4,3,3,3,2,4,3,3,3,2,4,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,2,1,3,1,1,1,2,2,3,5,7,6,5,3,2,4,1,99,民主主義の手段である投票行動に参画する権利を必ず行使願います,,,,
2,長谷川岳,1,0,1,1,3,1,1,45,1,2,4,16,100,50,100,50,50,50,50,50,50,50,2,99,3,3,3,2,1,3,3,2,2,3,3,4,2,2,2,3,4,3,3,3,1,2,2,3,4,4,2,2,5,2,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,2,5,3,1,1,1,2,3,1,4,1,1,1,1,1,1,1,5,今後は若い世代の政治参加、挑戦しやすくする環境を整えます。,,,観光政策,
3,徳永エリ,1,0,1,2,3,1,2,54,1,1,12,4,0,75,5,50,0,70,50,10,10,10,2,5,5,5,3,2,2,3,5,1,1,5,5,3,3,4,5,1,1,1,3,4,5,5,5,2,3,4,5,5,4,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,2,3,5,1,3,2,4,5,6,1,7,4,政治は未来を作る仕事。選挙は、自らが未来作りに携わる事です。,,,,
4,鉢呂吉雄,1,0,1,2,1,0,1,68,1,16,1,4,0,100,50,50,50,70,50,50,50,50,4,5,2,5,5,2,3,2,4,2,2,5,5,2,2,5,4,2,3,2,2,3,3,5,4,3,3,5,4,2,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,5,5,5,2,3,5,1,2,1,3,5,6,4,7,4,若者が将来に希望を持てない社会をぜひ一緒に変えていきましょう,格差是正,,,
5,森英士,1,0,1,4,1,0,1,38,0,12,7,2,0,80,0,100,0,80,80,0,0,0,5,5,5,5,5,2,3,5,5,1,1,5,5,1,3,5,5,1,1,3,2,5,3,4,5,1,5,5,5,5,5,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,4,1,3,5,1,3,4,99,99,2,99,2,皆さんの一票一票が未来を決めます。一緒に政治を変えましょう。,,,,
6,佐藤和夫,1,0,1,8,1,0,1,69,0,16,5,1,80,0,50,0,70,0,0,100,60,70,1,1,1,1,2,1,1,3,2,2,1,2,3,5,4,1,2,5,5,2,5,2,2,3,3,4,4,2,2,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1,1,1,3,3,6,4,1,5,7,3,6,4,2,99,次世代を築く若い人たちの期待に応える政治を実現したい。,経済デフレ脱却,,,天皇を元首と明記。
7,森山佳則,1,0,1,11,1,0,1,49,0,1,5,2,30,0,0,0,0,0,0,60,30,0,1,2,1,1,2,3,2,5,1,5,4,1,3,5,2,2,1,4,5,5,3,5,1,1,2,5,2,3,1,2,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,2,5,1,3,1,4,2,4,6,4,5,7,6,3,2,1,6,政治とは自分の未来を選べること。君の勇気ある決断を望みます。,,,,全文に、人権の根拠となる「魂の尊厳」を明記する。
8,中村治,1,0,1,13,1,0,1,63,0,99,99,99,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,3,99,99,99,99,99,99,99,99,99,99,99,5,新しい世代に新しい選択肢が出来ました。とにかく選挙に行こう。,,,,
9,水越寛陽,1,0,1,15,1,0,1,36,0,3,6,5,100,100,100,100,100,100,100,100,100,100,3,5,5,4,4,3,3,4,3,4,3,3,3,3,3,1,3,3,3,4,4,2,3,3,2,3,3,3,3,4,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,4,4,3,3,4,2,5,6,6,4,2,3,7,1,5,4,夢は正夢、少年よ大志を抱け、時は金なり、愛国心と世界平和は同じである,,,,
10,飯田佳宏,1,0,1,15,1,0,1,43,0,5,6,3,51,49,80,0,100,10,10,50,50,50,2,2,1,2,3,3,1,1,1,1,1,1,2,3,3,3,3,2,1,2,1,1,1,1,5,3,5,2,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,2,2,1,2,3,4,2,2,3,5,6,4,1,7,7,無関心は極端な人たちを勢いづけるので、是非とも投票を！,,,,
