ID,NAMEEQ,NAMEnoEQ,RESPONSE,NOELEC,DISTRICT,PARTY,INCUMB,TERM,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3_1_1,Q3_1_2,Q3_1_3,Q3_1_4,Q3_1_5,Q3_1_6,Q3_1_7,Q3_1_8,Q3_1_9,Q3_1_10,Q3_1_11,Q3_2_1,Q3_2_2,Q3_2_3,Q3_2_4,Q3_2_5,Q3_2_6,Q3_2_7,Q3_2_8,Q3_2_9,Q3_2_10,Q3_2_11,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,SQ7_1,SQ7_2,SQ7_3,SQ7_4,SQ7_5,SQ7_6,SQ7_7,SQ7_8,SQ7_9,SQ7_10,SQ7_11,SQ7_12,SQ7_13,SQ7_14,SQ7_15,SQ7_16,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q1_1_FA,Q1_2_FA,Q1_3_FA,SQ7_16_FA
1,高橋＝はるみ,高橋はるみ,1,0,1,1,1,0,2,65,1,3,6,14,100,0,0,75,0,0,0,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,4,2,2,3,2,2,2,3,4,1,3,4,5,4,2,5,3,4,3,4,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,3,3,3,1,1,1,1,1,7,7,7,7,7,7,7,7,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,,,,
2,岩本＝剛人,岩本剛人,1,0,1,1,1,0,1,54,1,13,4,5,100,0,10,90,0,50,0,100,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,3,2,2,3,3,3,4,4,3,2,3,3,4,3,2,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,1,1,2,2,2,6,6,5,5,5,6,6,5,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,,,,
3,勝部＝賢志,勝部賢志,1,0,1,2,1,0,1,59,1,5,6,12,20,100,80,30,60,10,80,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,3,2,5,2,5,1,1,2,4,5,2,1,3,4,3,4,4,4,3,4,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,3,3,4,5,5,5,5,7,7,7,7,7,7,7,7,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,,,,
4,原谷＝那美,原谷那美,1,0,1,3,1,0,2,35,0,4,5,6,25,75,100,25,50,25,50,25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,2,2,3,3,4,1,1,3,5,5,2,2,4,4,3,4,5,5,3,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,3,3,5,5,5,5,5,7,7,7,7,7,7,7,7,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,,,,
5,畠山＝和也,畠山和也,1,0,1,5,1,0,1,47,0,6,13,12,25,75,75,25,100,25,75,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,5,4,3,5,3,5,1,1,3,5,4,2,1,2,4,3,5,5,5,3,4,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,1,5,5,5,5,5,5,7,7,7,7,7,7,7,7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,,,,
6,森山＝佳則,森山佳則,1,0,1,9,1,0,1,52,0,1,3,7,50,20,20,30,10,50,20,50,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,3,1,1,2,2,3,3,5,3,1,1,2,5,1,1,3,5,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,1,3,2,4,4,4,7,7,7,7,7,7,7,7,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,,,,自衛隊を防衛軍に。予算の単年度制の改正。
7,山本＝貴平,山本貴平,1,0,1,12,1,0,1,44,0,16,5,1,80,5,10,10,1,8,3,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,2,2,1,5,2,5,5,3,2,3,1,5,3,4,3,4,5,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,2,1,4,5,3,7,7,6,5,6,5,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,NHK問題,,,
8,岩瀬＝清次,岩瀬清次,1,0,1,14,1,0,1,66,0,16,12,2,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,5,5,5,3,5,5,3,3,3,1,1,1,5,5,5,1,5,3,1,5,4,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5,5,5,5,5,5,7,4,7,7,7,4,4,6,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,搾取労働・差別労働の即時廃絶,,,第1章に「国民主権」を明示する。
9,中村＝治,中村治,1,0,1,15,1,0,1,66,0,16,99,99,50,50,50,50,50,50,50,50,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,安楽死制度の検討,,,
10,滝沢＝求,滝沢求,1,0,2,1,3,1,1,60,1,13,14,9,100,25,25,100,0,50,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,4,3,3,3,3,3,3,3,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,3,1,1,1,1,1,99,99,99,99,99,99,99,99,1,1,0,0,1,1,1,0,0,0,99,99,99,99,99,99,99,99,99,99,,,,
11,小田切＝達,小田切達,1,0,2,2,1,0,1,61,0,3,12,6,0,100,80,0,80,30,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,5,5,3,3,3,5,4,5,1,1,3,5,5,2,2,4,5,3,5,5,5,5,5,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,1,5,5,5,5,5,5,4,4,4,4,7,7,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
12,小山＝日奈子,小山日奈子,1,0,2,12,1,0,2,53,0,16,1,12,50,999,999,999,999,50,999,50,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,3,1,2,1,3,3,3,5,1,4,4,2,3,3,3,2,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,2,2,3,2,3,2,2,2,3,5,6,5,5,5,7,7,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NHKに関する問題,,,
13,平野＝達男,平野達男,1,0,3,1,3,3,1,65,0,4,3,6,100,0,0,100,0,0,0,100,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,3,4,2,3,5,2,5,3,3,4,2,3,4,3,5,3,5,2,4,5,4,3,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,1,1,2,3,2,6,6,5,5,4,6,6,6,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,,,,
14,横沢＝高徳,横沢高徳,1,0,3,11,1,0,1,47,1,16,13,5,10,90,90,20,90,20,90,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,5,2,2,4,2,3,1,1,2,3,4,2,2,3,3,3,4,5,4,3,4,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,3,2,4,5,5,5,5,5,7,7,99,7,7,7,7,7,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,バリアのない社会づくり,,,
15,梶谷＝秀一,梶谷秀一,1,0,3,12,1,0,1,53,0,16,5,1,0,0,0,0,5,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,4,5,3,1,1,3,4,1,2,1,2,1,5,2,1,1,1,4,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,1,2,2,2,2,4,5,6,1,7,1,1,7,7,7,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,放送法改正,,,
16,愛知＝治郎,愛知治郎,1,0,4,1,3,3,1,50,0,16,5,10,70,10,20,50,10,10,10,70,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,4,3,3,2,3,2,2,3,3,3,3,2,3,2,3,5,2,5,2,3,3,4,3,2,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,5,5,2,2,2,2,2,3,7,7,7,7,99,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,経済,,,
17,石垣＝のりこ,石垣のりこ,1,0,4,2,1,0,2,44,1,16,6,4,0,100,75,0,75,0,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,5,3,4,1,1,3,3,5,1,1,1,5,3,3,1,1,3,1,5,5,3,1,1,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,3,3,5,5,5,5,5,7,7,6,7,7,7,7,7,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,消費税を含む税制,,,
18,三宅＝紀昭,三宅紀昭,1,0,4,12,1,0,1,57,0,16,6,5,25,0,25,25,60,40,0,50,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,2,2,2,1,1,1,3,4,3,4,4,2,2,1,1,2,3,3,4,2,3,3,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,3,3,3,4,3,4,4,4,7,7,6,4,4,7,4,4,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,全国的に渡る、NHK問題,,,
19,中泉＝松司,中泉松司,1,0,5,1,3,1,1,40,0,4,6,3,90,0,25,70,10,25,10,90,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,3,4,2,2,4,2,3,3,3,4,1,2,4,2,2,2,5,2,3,3,2,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,3,4,2,1,2,2,3,6,6,6,6,6,6,7,6,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,,,,
20,寺田＝静,寺田静,1,0,5,11,1,0,2,44,1,6,5,3,10,60,50,40,50,20,60,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,5,2,3,4,2,3,1,1,2,3,4,3,2,4,4,3,4,4,3,3,4,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,2,4,4,3,3,4,5,7,7,99,6,6,7,7,7,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,,,,
21,石岡＝隆治,石岡隆治,1,0,5,12,1,0,1,45,0,16,99,99,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,5,1,1,3,5,5,3,3,3,1,3,1,5,2,3,3,1,5,5,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,5,5,3,2,2,3,3,3,1,1,1,1,1,7,4,5,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,NHK受信契約の在り方の見直し,,,緊急逮捕 ×　軍法会議の設置
22,大沼＝瑞穂,大沼瑞穂,1,0,6,1,3,1,2,40,0,6,5,1,80,999,999,80,999,999,999,80,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,2,4,4,2,4,3,3,3,2,4,2,4,4,2,5,3,2,2,4,4,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,2,3,1,1,1,2,4,7,7,7,7,5,7,7,7,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,,,,
23,芳賀＝道也,芳賀道也,1,0,6,11,1,0,1,61,1,4,16,16,999,999,999,999,999,0,999,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,4,5,3,3,5,5,5,1,2,1,5,5,2,2,4,4,4,5,5,4,2,5,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,2,1,5,5,5,5,5,5,7,7,99,7,99,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,,地方分権も含む地域政策,教育・子育て・年金・医療・介護などの社会福祉,
24,小野沢＝健至,小野沢健至,1,0,6,12,1,0,1,49,0,16,5,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3,2,2,1,1,1,2,4,5,5,1,2,2,4,2,1,2,3,2,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3,4,2,4,2,3,6,3,7,1,1,7,6,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,NHK,,,
25,森＝雅子,森雅子,1,0,7,1,3,2,2,54,1,13,16,4,100,0,0,100,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,3,4,2,3,5,1,3,3,3,3,3,3,2,2,3,3,4,3,3,3,4,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,3,3,3,1,1,1,2,2,7,7,7,7,4,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,,人口減少対策,,
26,水野＝さちこ,水野さちこ,1,0,7,11,1,0,2,57,0,6,5,13,0,100,100,0,100,50,100,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,2,3,4,3,4,3,3,3,3,4,2,2,3,3,3,3,3,3,3,4,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,5,5,5,5,5,5,7,7,99,7,99,7,7,7,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,,,,
27,田山＝雅仁,田山雅仁,1,0,7,12,1,0,1,35,0,16,2,5,10,0,0,0,0,30,0,10,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,5,1,5,1,1,5,2,2,2,1,1,1,5,2,5,1,5,5,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,4,4,5,7,7,5,7,1,6,7,7,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,放送法の改定、スクランブル化の促進,,,小中高の教育無償化
28,上月＝良祐,上月良祐,1,0,8,1,3,1,1,56,1,99,99,99,999,999,999,999,999,999,999,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,3,2,3,2,2,99,2,3,3,4,99,99,99,99,99,99,99,99,2,3,99,99,3,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,5,5,99,99,1,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,
29,小沼＝巧,小沼巧,1,0,8,2,1,0,1,33,1,16,15,16,0,100,70,30,20,0,80,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,3,4,2,2,4,2,4,1,1,4,3,4,1,1,3,4,2,5,4,3,2,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,2,5,4,4,4,4,5,7,7,7,7,7,7,7,7,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,立憲主義の遵守と日本国憲法の3原則の再確認,,持続可能な社会保障制度の確立,
30,大内＝久美子,大内久美子,1,0,8,5,1,0,2,69,0,15,5,12,0,70,50,0,100,0,70,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,5,5,5,5,3,3,5,3,3,1,1,5,5,5,1,1,5,5,5,5,5,5,5,5,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,1,5,5,5,5,5,5,7,7,7,7,7,4,4,7,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,,,,
31,海野＝徹,海野徹,1,0,8,6,1,0,1,70,0,11,15,1,25,25,25,25,25,100,25,25,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,4,4,4,3,4,3,2,4,2,4,2,3,2,4,2,4,2,2,3,4,2,4,4,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,5,4,4,4,4,5,6,6,7,6,4,7,7,7,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,,,,
32,田中＝健,田中健,1,0,8,12,1,0,1,53,0,16,16,1,20,10,50,10,10,50,5,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,3,3,3,2,5,5,2,4,1,1,1,3,1,5,1,1,5,3,4,4,3,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,3,3,3,3,5,4,3,5,5,7,7,7,7,7,7,7,7,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,NHK受信料の問題,軽自動車基準の改正問題,,第十七条：国家および公務員の賠償責任を明確にし、現行の「違法捜査があった場合」などの条件をつけることなく、懲罰的賠償責任も加味して、内閣総理大臣の年収割合と同額以上の賠償額を設定すること
33,高橋＝克法,高橋克法,1,0,9,1,3,1,1,61,1,4,14,16,100,0,0,100,0,50,0,100,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,2,3,2,2,5,2,2,3,3,3,2,3,3,4,3,3,5,3,3,3,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,3,3,3,1,1,2,2,2,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,中小企業・小規模事業者対策,
34,加藤＝千穂,加藤千穂,1,0,9,2,1,0,2,43,0,5,6,4,999,100,999,999,999,999,999,999,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,3,4,4,4,3,4,5,1,2,2,3,3,3,3,4,3,3,3,4,3,4,4,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,4,2,3,5,4,4,3,5,6,6,6,6,5,5,5,6,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,,,,
35,町田＝紀光,町田紀光,1,0,9,12,1,0,1,40,0,12,5,6,0,50,50,0,0,0,50,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,4,3,1,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,3,3,3,3,2,3,3,3,3,5,5,3,3,4,4,6,3,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,,,,
36,清水＝真人,清水真人,1,0,10,1,1,0,1,44,1,5,4,3,100,0,0,95,0,50,0,90,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,2,2,5,3,3,4,3,3,2,2,4,4,2,2,3,3,3,4,2,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,5,4,2,2,1,2,2,2,6,6,6,6,5,7,6,7,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,,,,
37,斉藤＝敦子,斉藤敦子,1,0,10,2,1,0,2,51,0,12,6,2,20,100,80,20,70,20,70,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,2,2,3,3,5,1,1,2,5,5,2,1,2,4,3,4,4,4,3,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,1,5,5,5,5,5,5,7,7,7,7,7,7,7,7,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,,,,
38,前田＝みか子,前田みか子,1,0,10,12,1,0,2,47,0,10,16,5,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,5,1,1,3,5,4,5,4,3,4,5,2,1,3,3,3,5,5,3,1,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,5,3,3,3,5,5,5,5,5,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,,放送法の改正  ・スクランブル放送の改正,,
