pref,forpop2019,forpop2010,prefpop2018est,prefpop2015,prefpop2010
1,37906,"22,239",5286000,5382000,5506000
2,6076,"4,457",1263000,1308000,1373000
3,7591,"6,191",1241000,1280000,1330000
4,22408,"16,101",2316000,2334000,2348000
5,4230,"4,061",981000,1023000,1086000
6,7618,"6,591",1090000,1124000,1169000
7,14886,"11,331",1864000,1914000,2029000
8,67986,"54,439",2877000,2917000,2970000
9,42791,"32,607",1946000,1974000,2008000
10,60168,"43,082",1952000,1973000,2008000
11,189043,"123,137",7330000,7267000,7195000
12,162588,"114,254",6255000,6223000,6216000
13,581446,"418,012",13822000,13515000,13159000
14,228029,"169,405",9177000,9126000,9048000
15,17675,"13,831",2246000,2304000,2374000
16,19362,"13,857",1050000,1066000,1093000
17,16024,"11,286",1143000,1154000,1170000
18,15142,"12,418",774000,787000,806000
19,16507,"15,732",817000,835000,863000
20,37845,"35,186",2063000,2099000,2152000
21,57606,"48,461",1997000,2032000,2081000
22,96654,"86,158",3659000,3700000,3765000
23,272855,"204,836",7537000,7483000,7411000
24,54254,"46,475",1791000,1816000,1855000
25,32441,"26,417",1412000,1413000,1411000
26,62603,"52,742",2591000,2610000,2636000
27,247184,"206,951",8813000,8839000,8865000
28,112722,"100,387",5484000,5535000,5588000
29,13155,"11,304",1339000,1364000,1401000
30,6868,"6,152",935000,964000,1002000
31,4739,"4,173",560000,573000,589000
32,9649,"5,695",680000,694000,717000
33,29182,"22,394",1898000,1922000,1945000
34,54419,"39,657",2817000,2844000,2861000
35,17425,"14,324",1370000,1405000,1451000
36,6232,"5,157",736000,756000,785000
37,13385,"8,389",962000,976000,996000
38,12459,"8,986",1352000,1385000,1431000
39,4746,"3,460",706000,728000,764000
40,79129,"52,750",5107000,5102000,5072000
41,6732,"4,310",819000,833000,850000
42,10489,"7,698",1341000,1377000,1427000
43,16592,"9,004",1757000,1786000,1817000
44,13379,"10,649",1144000,1166000,1197000
45,7162,"4,279",1081000,1104000,1135000
46,11453,"6,193",1614000,1648000,1706000
47,19360,"8,933",1448000,1434000,1393000
